pid,fold
1,3
10,1
100,3
1000,0
1001,2
1002,3
1003,0
1004,3
1005,4
1006,0
1007,0
1008,2
1009,0
101,2
1010,2
1011,0
1012,0
1013,1
1014,1
1015,4
1016,3
1017,4
1018,1
1019,0
102,4
1020,2
1021,1
1022,3
1023,1
1024,0
1025,3
1026,0
1027,1
1028,3
1029,0
103,1
1030,1
1031,1
1032,4
1033,1
1034,1
1035,0
1036,1
1037,1
1038,0
1039,0
104,2
1040,0
1041,2
1042,2
1043,2
1044,3
1045,1
1046,3
1047,2
1048,2
1049,2
105,3
1050,4
1051,0
1052,2
1053,1
1054,4
1055,2
1056,2
1057,1
1058,2
1059,3
106,4
1060,4
1061,1
1062,0
1063,4
1064,2
1065,2
1066,3
1067,1
1068,2
1069,4
107,2
1070,2
1071,1
1072,0
1073,0
1074,3
1075,4
1076,3
1077,3
1078,0
1079,2
108,1
1080,2
1081,1
1082,2
1083,4
1084,2
1085,4
1086,4
1087,3
1088,2
1089,2
109,2
1090,2
1091,3
1092,0
1093,3
1094,3
1095,1
1096,0
1097,1
1098,4
1099,1
11,1
110,4
1100,3
1101,0
1102,0
1103,1
1104,2
1105,1
1106,2
1107,0
1108,0
1109,3
111,0
1110,1
1111,3
1112,1
1113,4
1114,1
1115,2
1116,0
1117,1
1118,1
1119,0
112,2
1120,2
1121,1
1122,3
1123,3
1124,0
1125,1
1126,4
1127,0
1128,3
1129,1
113,1
1130,3
1131,4
1132,0
1133,0
1134,3
1135,3
1136,4
1137,4
1138,1
1139,4
114,2
1140,4
1141,3
1142,2
1143,1
1144,2
1145,0
1146,2
1147,2
1148,4
1149,4
115,2
1150,1
1151,1
1152,4
1153,1
1154,1
1155,1
1156,3
1157,0
1158,4
1159,2
116,0
1160,4
1161,0
1162,4
1163,4
1164,3
1165,0
1166,2
1167,1
1168,1
1169,1
117,3
1170,2
1171,2
1172,3
1173,0
1174,1
1175,4
1176,0
1177,4
1178,3
1179,4
118,1
1180,2
1181,0
1182,2
1183,4
1184,4
1185,4
1186,2
1187,3
1188,1
1189,0
119,2
1190,3
1191,1
1192,0
1193,1
1194,4
1195,1
1196,1
1197,3
1198,0
1199,4
12,2
120,3
1200,2
1201,0
1202,4
1203,2
1204,3
1205,2
1206,4
1207,0
1208,0
1209,1
121,0
1210,0
1211,2
1212,1
1213,3
1214,1
1215,2
1216,1
1217,4
1218,1
1219,0
122,1
1220,0
1221,0
1222,1
1223,3
1224,1
1225,1
1226,4
1227,4
1228,1
1229,2
123,2
1230,2
1231,3
1232,4
1233,0
1234,1
1235,4
1236,4
1237,2
1238,2
1239,3
124,4
1240,4
1241,2
1242,1
1243,4
1244,1
1245,2
1246,1
1247,3
1248,0
1249,1
125,2
1250,3
1251,1
1252,0
1253,3
1254,0
1255,2
1256,1
1257,3
1258,2
1259,3
126,3
1260,1
1261,1
1262,2
1263,3
1264,1
1265,2
1266,0
1267,3
1268,0
1269,3
127,0
1270,3
1271,4
1272,3
1273,0
1274,4
1275,0
1276,1
1277,2
1278,0
1279,4
128,4
1280,2
1281,2
1282,0
1283,0
1284,0
1285,4
1286,0
1287,4
1288,0
1289,3
129,4
1290,4
1291,1
1292,4
1293,3
1294,1
1295,1
1296,2
1297,4
1298,0
1299,1
13,2
130,4
1300,2
1301,2
1302,4
1303,4
1304,0
1305,2
1306,4
1307,3
1308,2
1309,0
131,2
1310,4
1311,2
1312,4
1313,4
1314,0
1315,3
1316,0
1317,4
1318,0
1319,4
132,0
1320,1
1321,3
1322,4
1323,2
1324,2
1325,2
1326,4
1327,4
1328,1
1329,0
133,1
1330,4
1331,2
1332,4
1333,4
1334,0
1335,3
1336,3
1337,1
1338,3
1339,2
134,2
1340,3
1341,3
1342,3
1343,2
1344,2
1345,4
1346,4
1347,1
1348,4
1349,3
135,3
1350,1
1351,4
1352,0
1353,2
1354,1
1355,3
1356,4
1357,4
1358,4
1359,4
136,1
1360,4
1361,3
1362,4
1363,1
1364,4
1365,0
1366,1
1367,0
1368,2
1369,2
137,4
1370,4
1371,3
1372,3
1373,2
1374,2
1375,4
1376,0
1377,3
1378,1
1379,3
138,2
1380,3
1381,1
1382,2
1383,4
1384,3
1385,1
1386,2
1387,1
1388,2
1389,2
139,1
1390,0
1391,2
1392,3
1393,3
1394,3
1395,4
1396,3
1397,2
1398,0
1399,3
14,0
140,2
1400,2
1401,4
1402,4
1403,3
1404,1
1405,4
1406,0
1407,4
1408,1
1409,4
141,4
1410,3
1411,4
1412,1
1413,0
1414,4
1415,1
1416,1
1417,2
1418,2
1419,2
142,4
1420,4
1421,4
1422,0
1423,4
1424,4
1425,3
1426,4
1427,3
1428,1
1429,1
143,4
1430,3
1431,3
1432,1
1433,2
1434,3
1435,1
1436,4
1437,0
1438,2
1439,0
144,1
1440,4
1441,0
1442,3
1443,4
1444,1
1445,4
1446,3
1447,4
1448,0
1449,2
145,0
1450,4
1451,4
1452,3
1453,2
1454,0
1455,3
1456,0
1457,0
1458,1
1459,2
146,4
1460,4
1461,2
1462,4
1463,2
1464,4
1465,0
1466,4
1467,0
1468,2
1469,4
147,3
1470,3
1471,0
1472,2
1473,0
1474,2
1475,1
1476,2
1477,3
1478,3
1479,0
148,4
1480,0
1481,0
1482,0
1483,2
1484,0
1485,2
1486,0
1487,0
1488,4
1489,3
149,4
1490,1
1491,2
1492,0
1493,0
1494,4
1495,2
1496,4
1497,3
1498,2
1499,0
15,0
150,0
1500,2
1501,3
1502,1
1503,1
1504,2
1505,3
1506,4
1507,4
1508,2
1509,0
151,1
1510,2
1511,2
1512,3
1513,2
1514,3
1515,3
1516,3
1517,3
1518,4
1519,1
152,0
1520,2
1521,0
1522,2
1523,3
1524,2
1525,0
1526,0
1527,2
1528,3
1529,1
153,1
1530,4
1531,0
1532,2
1533,4
1534,3
1535,3
1536,0
1537,3
1538,0
1539,2
154,3
1540,1
1541,2
1542,2
