pid,fold
100360,3
100416,3
100572,1
100639,2
100820,3
100920,4
101016,0
101017,0
101020,1
101029,4
101082,3
101127,0
101145,3
101305,3
101384,0
101724,0
101797,2
101801,2
102075,2
102420,1
102446,4
102648,1
102669,3
102675,3
102714,3
102818,0
102929,2
102935,1
102960,4
102985,3
103046,2
103148,1
103257,4
103478,0
103582,2
103670,2
103671,1
103673,2
103731,2
103837,1
103925,4
104019,2
104167,0
104281,1
104558,3
104684,0
104695,4
104912,2
105187,4
105374,2
105475,1
105538,0
105555,4
105638,0
105653,1
105936,3
105937,0
106062,3
106284,0
106442,4
106494,4
106534,0
106592,1
106665,2
106720,1
106914,2
107190,1
107248,1
107429,1
107494,2
107495,0
107505,3
107743,1
107747,4
107946,1
108479,3
108514,4
108550,2
108590,0
108858,4
108931,4
108945,4
109350,4
109411,1
109471,2
109769,3
109898,0
109968,3
110116,2
110518,0
110537,1
110808,0
110993,4
111075,1
111077,2
111125,2
111366,1
111532,3
111696,1
111710,0
111785,4
112002,2
112027,2
112062,4
112074,1
112105,4
112252,3
112552,0
112648,1
112649,0
112650,0
112746,3
112847,4
113098,0
113274,4
113435,1
113554,0
113614,3
113741,2
113805,2
113971,1
114018,3
114040,1
114094,0
114359,4
114361,4
114417,0
53669,3
58392,0
88510,4
88670,0
90284,1
92897,4
93329,3
93825,3
94731,0
95142,1
95969,2
96587,1
97374,4
97416,2
97461,1
97481,3
97599,3
97607,1
97609,0
97737,4
97793,2
97875,3
97890,2
97943,3
98241,3
98472,0
98652,1
98871,3
98874,3
98889,4
98992,4
98995,2
99017,3
99089,4
99162,3
99223,4
99288,2
99308,0
99815,1
MR017260F,4
MR024780B,1
MR024780D,0
MR024780E,2
MR024780G,2
MR026175C,3
MR026175E,2
MR029209E,3
MR029209G,3
MR029209I,2
MR031409B,1
MR032322C,3
MR033389B,0
MR033420,4
MR034694,1
MR034997,1
MR036496B,4
MR037458B,0
MR037458C,0
MR038469,1
MR039473,2
MR039473B,1
MR040240,1
MR040240B,0
MR040240C,2
MR040240D,3
MR047953C,3
MR048294,2
MR048294B,2
MR048297,3
MR048621B,0
MR048944,2
MR048944B,0
MR048994,0
MR048994B,0
MR049019C,3
MR049019G,1
MR049104,4
MR049104B,0
MR049142,4
MR049242C,1
MR049358,3
MR049453,1
MR049453B,4
MR049942B,4
MR050135B,1
MR050687,4
MR050687C,2
MR050791B,1
MR051461,3
MR051461B,3
MR051586,3
MR051644,4
MR051644B,0
MR051644C,0
MR051651,4
MR051651B,2
MR051796,3
MR051796B,2
MR052550,2
MR052585B,0
MR053110B,4
MR053110E,0
MR053241C,2
MR054683,4
MR054875,2
MR056144,2
